sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,sentDate,recDate,notes,sampleDate
PV2149,LPCC,rawWW,cpTP24h,,2022-12-06 06:30:00,2022-12-07 07:30:00,1.0,16.8,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-07
PV2150,LPCC,rawWW,cpTP24h,,2022-12-08 07:30:00,2022-12-09 07:30:00,1.0,18.5,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-09
PV2151,LPCC,rawWW,cpTP24h,,2022-12-11 07:00:00,2022-12-12 07:00:00,1.0,16.4,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-12
PV2152,LRPCP,rawWW,cpTP24h,,2022-12-11 00:00:00,2022-12-12 00:00:00,1.0,14.0,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-12
PV2153,LRWRP,rawWW,cpTP24h,,2022-12-11 07:00:00,2022-12-12 07:00:00,1.0,16.0,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-12
PV2183,CHWW,rawWW,cpTP24h,,2022-12-08 07:00:00,2022-12-09 07:00:00,0.5,12.6,Yes,,,Sample shipped on ice from site to lab by courier (overnight shipping),2022-12-09
PV2184,CHWW,rawWW,cpTP24h,,2022-12-11 07:00:00,2022-12-12 07:00:00,0.5,13.9,Yes,,,Sample shipped on ice from site to lab by courier (overnight shipping),2022-12-12
PV2185,TB,rawWW,cpTP24h,,2022-12-08 08:45:00,2022-12-09 09:00:00,0.5,6.4,Yes,,,Sample shipped on ice from site to lab by courier (overnight shipping),2022-12-09
PV2186,TB,rawWW,cpTP24h,,2022-12-11 13:00:00,2022-12-12 09:15:00,0.5,5.2,Yes,,,Sample shipped at RT from site to lab by courier (overnight shipping),2022-12-12
PV2187,LA,rawWW,cpTP24h,,2022-12-13 08:00:00,2022-12-14 08:00:00,1.0,13.9,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-14
PV2188,LRPCP,rawWW,cpTP24h,,2022-12-12 00:00:00,2022-12-13 00:00:00,1.0,16.3,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-13
PV2189,LRPCP,rawWW,cpTP24h,,2022-12-13 00:00:00,2022-12-14 00:00:00,1.0,16.4,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-14
PV2190,LRWRP,rawWW,cpTP24h,,2022-12-12 06:45:00,2022-12-13 06:40:00,1.0,,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-13
PV2191,LRWRP,rawWW,cpTP24h,,2022-12-13 06:40:00,2022-12-14 06:40:00,1.0,,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-14
PV2199,CHWW,rawWW,cpTP24h,,2022-12-13 07:00:00,2022-12-14 07:00:00,0.5,13.5,Yes,,,Sample shipped on ice from site to lab by courier (overnight shipping),2022-12-14
PV2200,LRPCP,rawWW,cpTP24h,,2022-12-14 00:00:00,2022-12-15 00:00:00,1.0,14.0,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-15
PV2201,LRPCP,rawWW,cpTP24h,,2022-12-15 00:00:00,2022-12-16 00:00:00,1.0,14.0,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-16
PV2202,LRWRP,rawWW,cpTP24h,,2022-12-14 07:00:00,2022-12-15 07:00:00,1.0,10.8,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-15
PV2203,LRWRP,rawWW,cpTP24h,,2022-12-15 07:00:00,2022-12-16 07:00:00,1.0,14.0,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-16
PV2204,MQ Blank,,grb,2022-12-19 09:00:00,,,,,,,,,2022-12-19
PV2205,AM,rawWW,cpTP24h,,2022-12-15 06:00:00,2022-12-16 06:00:00,1.0,14.1,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-16
PV2206,AM,rawWW,cpTP24h,,2022-12-18 06:00:00,2022-12-19 06:00:00,1.0,15.2,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-19
PV2207,LPCC,rawWW,cpTP24h,,2022-12-13 07:00:00,2022-12-14 07:00:00,1.0,15.9,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-14
PV2208,LPCC,rawWW,cpTP24h,,2022-12-15 07:00:00,2022-12-16 07:00:00,1.0,17.2,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-16
PV2209,LPCC,rawWW,cpTP24h,,2022-12-18 07:00:00,2022-12-19 07:00:00,1.0,15.2,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-19
PV2210,LRPCP,rawWW,cpTP24h,,2022-12-18 00:01:00,2022-12-18 23:59:00,1.0,13.2,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-18
PV2211,LRWRP,rawWW,cpTP24h,,2022-12-18 07:00:00,2022-12-19 07:00:00,1.0,15.0,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-19
PV2213,TB,rawWW,cpTP24h,,2022-12-13 09:15:00,2022-12-14 09:00:00,0.5,6.0,Yes,,,Sample shipped on ice from site to lab by courier (overnight shipping),2022-12-14
PV2214,MQ Blank,,grb,2022-12-21 09:00:00,,,,,,,,,2022-12-21
PV2215,CHWW,rawWW,cpTP24h,,2022-12-18 07:00:00,2022-12-19 07:00:00,0.5,13.05,Yes,,,Sample shipped on ice from site to lab by courier (overnight shipping),2022-12-19
PV2216,LRPCP,rawWW,cpTP24h,,2022-12-19 00:00:00,2022-12-20 00:00:00,1.0,15.8,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-20
PV2217,LRPCP,rawWW,cpTP24h,,2022-12-20 00:00:00,2022-12-21 00:00:00,1.0,15.6,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-21
PV2218,LRWRP,rawWW,cpTP24h,,2022-12-19 06:30:00,2022-12-20 06:30:00,1.0,13.1,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-20
PV2219,LRWRP,rawWW,cpTP24h,,2022-12-20 06:30:00,2022-12-21 06:30:00,1.0,15.1,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-21
PV2220,CHWW,rawWW,cpTP24h,,2022-12-20 07:00:00,2022-12-21 07:00:00,0.5,14.4,Yes,,,Sample shipped on ice from site to lab by courier (overnight shipping),2022-12-21
PV2221,TB,rawWW,cpTP24h,,2022-12-15 08:45:00,2022-12-16 09:30:00,0.5,6.1,Yes,,,"Sample shipped on ice from site to lab by courier (overnight shipping), DELAYED",2022-12-16
