uSiteMeasureID,siteID,sampleID,reporterID,dateTime,type,typeOther,typeDescription,aggregation,aggregationOther,aggregationDesc,value,unit,notes,Unnamed: 14
SM_LRPCP170_F,LRPCP,PV135,McKay-GLIER,2021-12-07 23:59:00,wwFlow,,Measured daily average flow,mean,,,62170.0,m3/d,,
SM_AM123_T,AM,PV133,McKay-GLIER,2021-12-08 06:30:00,wwTemp,,Field hand-held probe,max,,,7.0,oC,,
SM_AM123_F,AM,PV133,McKay-GLIER,2021-12-08 06:30:00,wwFlow,,Measured daily average flow,mean,,,11799.4,m3/d,,
SM_AM123_pH,AM,PV133,McKay-GLIER,2021-12-08 06:30:00,wwpH,,Field hand-held probe,max,,,7.77,,,
SM_AM123_F_Spot,AM,PV133,McKay-GLIER,2021-12-08 06:30:00,wwFlow,,Field hand-held probe,max,,,460.0,m3/h,,
SM_LPCC150_T,LPCC,PV134,McKay-GLIER,2021-12-08 06:30:00,wwTemp,,Field hand-held probe,max,,,14.1,oC,,
SM_LPCC150_pH,LPCC,PV134,McKay-GLIER,2021-12-08 06:30:00,wwpH,,Field hand-held probe,max,,,7.81,,,
SM_LPCC150_F,LPCC,PV134,McKay-GLIER,2021-12-08 06:30:00,wwFlow,,Measured daily average flow,mean,,,300.87,L/s,,
SM_LRWRP175_F,LRWRP,PV149,McKay-GLIER,2021-12-10 06:30:00,wwFlow,,Measured daily average flow,mean,,,89.0,ML/D,,
SM_LRWRP175_T,LRWRP,PV149,McKay-GLIER,2021-12-10 06:30:00,wwTemp,,Field hand-held probe,max,,,14.8,oC,,
SM_LRWRP175_pH,LRWRP,PV149,McKay-GLIER,2021-12-10 06:30:00,wwpH,,Field hand-held probe,max,,,6.9,,,
SM_LRPCP171_F,LRPCP,PV148,McKay-GLIER,2021-12-09 23:59:00,wwFlow,,Measured daily average flow,mean,,,42000.0,m3/d,,
SM_LRPCP171_T,LRPCP,PV148,McKay-GLIER,2021-12-09 23:59:00,wwTemp,,Field hand-held probe,max,,,14.5,oC,,
SM_LRPCP171_pH,LRPCP,PV148,McKay-GLIER,2021-12-09 23:59:00,wwpH,,Field hand-held probe,max,,,6.9,,,
SM_LPCC151_F,LPCC,PV147,McKay-GLIER,2021-12-10 06:30:00,wwFlow,,Measured daily average flow,mean,,,258.13,L/s,,
SM_LPCC151_T,LPCC,PV147,McKay-GLIER,2021-12-10 06:30:00,wwTemp,,Field hand-held probe,max,,,13.4,oC,,
SM_LPCC151_pH,LPCC,PV147,McKay-GLIER,2021-12-10 06:30:00,wwpH,,Field hand-held probe,max,,,7.86,,,
SM_TB77_F,TB,PV146,McKay-GLIER,2021-12-08 09:00:00,wwFlow,,Measured daily average flow,mean,,,60.37,ML/D,,
SM_TB77_T,TB,PV146,McKay-GLIER,2021-12-08 09:00:00,wwTemp,,Field hand-held probe,max,,,7.1,oC,,
SM_TB77_pH,TB,PV146,McKay-GLIER,2021-12-08 09:00:00,wwpH,,Field hand-held probe,max,,,7.45,,,
SM_CHWW59_F,CHWW,PV145,McKay-GLIER,2021-12-08 00:00:00,wwFlow,,Measured daily average flow,mean,,,31.78,ML/D,,
SM_CHWW59_T,CHWW,PV145,McKay-GLIER,2021-12-08 00:00:00,wwTemp,,Field hand-held probe,max,,,10.6,oC,,
