sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes
B03.29.12.22,Harmony,rawWW,cpTP24h,,2022-12-28,2022-12-29,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
B03.30.12.22,Harmony,rawWW,cpTP24h,,2022-12-29,2022-12-30,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
C04.29.12.22,Courtice,rawWW,cpTP24h,,2022-12-28,2022-12-29,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
D05.29.12.22,Darlington,rawWW,cpTP24h,,2022-12-28,2022-12-29,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
E06.29.12.22,Newcastle,rawWW,cpTP24h,,2022-12-28,2022-12-29,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
F07.29.12.22,Ajax,rawWW,cpTP24h,,2022-12-28,2022-12-29,0.5,13.0,Yes,Samples shipped on ice from site to lab by courier
S1.21.12.22,Barrie,rawWW,cpTP24h,,2022-12-20,2022-12-21,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
S1.22.12.22,Barrie,rawWW,cpTP24h,,2022-12-21,2022-12-22,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
S1.29.12.22,Barrie,rawWW,cpTP24h,,2022-12-28,2022-12-29,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
S3.22.12.22,Midland,rawWW,cpTP24h,,2022-12-21,2022-12-22,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
S3.29.12.22,Midland,rawWW,cpTP24h,,2022-12-28,2022-12-29,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
S4.22.12.22,Orillia,rawWW,cpTP24h,,2022-12-21,2022-12-22,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
S4.29.12.22,Orillia,rawWW,cpTP24h,,2022-12-28,2022-12-29,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
S6.22.12.22,Penetanguishene,rawWW,cpTP24h,,2022-12-21,2022-12-22,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
S6.28.12.22,Penetanguishene,rawWW,cpTP24h,,2022-12-27,2022-12-28,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
S6.29.12.22,Penetanguishene,rawWW,cpTP24h,,2022-12-28,2022-12-29,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
A02.2.1.23,Corbett,rawWW,cpTP24h,,2023-01-01,2023-01-02,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
B03.2.1.23,Harmony,rawWW,cpTP24h,,2023-01-01,2023-01-02,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
C04.27.12.22,Courtice,rawWW,cpTP24h,,2022-12-26,2022-12-27,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
C04.2.1.23,Courtice,rawWW,cpTP24h,,2023-01-01,2023-01-02,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
D05.27.12.22,Darlington,rawWW,cpTP24h,,2022-12-26,2022-12-27,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
D05.2.1.23,Darlington,rawWW,cpTP24h,,2023-01-01,2023-01-02,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
E06.2.1.23,Newcastle,rawWW,cpTP24h,,2023-01-01,2023-01-02,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
F07.1.1.23,Ajax,rawWW,cpTP24h,,2022-12-31,2023-01-01,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
G08.1.1.23,Pickering,rawWW,cpTP24h,,2022-12-31,2023-01-01,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
S1.2.1.23,Barrie,rawWW,cpTP24h,,2023-01-01,2023-01-02,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
