sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes
CWP_165,CWP,rawWW,cpTP24h,,2022-12-04 07:05:00,2022-12-05 07:05:00.000,2.4,10.3,yes,
MUC1_150,MUC1,rawWW,grb,2022-12-07 07:18:00,,,,,yes,
BFW_183,BFW,rawWW,cpTP24h,,2022-12-06 09:00:00,2022-12-07 09:00:00.000,9.6,14.9,yes,
CBW_173,CBW,rawWW,cpTP24h,,2022-12-06 07:30:00,2022-12-07 07:25:00.000,9.5,5.3,yes,
CWP_166,CWP,rawWW,cpTP24h,,2022-12-06 07:30:00,2022-12-07 07:30:00.000,2.4,12.7,yes,
GWP_182,GWP,rawWW,cpTP24h,,2022-12-06 07:00:00,2022-12-07 07:00:00.000,2.4,,yes,
KLW_181,KLW,rawWW,cpTP24h,,2022-12-05 10:30:00,2022-12-06 10:00:00.000,3.0,12.3,yes,
KLW_182,KLW,rawWW,cpTP24h,,2022-12-06 11:20:00,2022-12-07 11:20:00.000,3.0,6.8,yes,
SWP_198,SWP,rawWW,cpTP24h,,2022-12-06 07:00:00,2022-12-07 07:00:00.000,8.0,7.4,yes,
STW_181,STW,rawWW,cpTP24h,,2022-12-05 08:29:00,2022-12-06 08:29:00.000,16.0,,yes,
STW_182,STW,rawWW,cpTP24h,,2022-12-06 08:31:00,2022-12-07 08:31:00.000,16.0,,yes,
MSTP_086,MSTP,rawWW,cpTP24h,,2022-12-05 09:00:00,2022-12-06 09:00:00.000,,,yes,
MSTP_087,MSTP,rawWW,cpTP24h,,2022-12-06 09:00:00,2022-12-07 09:00:00.000,,,yes,
MUC1_151,MUC1,rawWW,grb,2022-12-09 07:07:00,,,,,yes,
MUC2_141,MUC2,rawWW,grb,2022-12-09 07:15:00,,,,,yes,
MUC3_158,MUC3,rawWW,grb,2022-12-09 07:25:00,,,,,yes,
MUC1_152,MUC1,rawWW,grb,2022-12-12 07:10:00,,,,,yes,
MUC2_142,MUC2,rawWW,grb,2022-12-12 07:16:00,,,,,yes,
MUC3_159,MUC3,rawWW,grb,2022-12-12 07:25:00,,,,,yes,
BFW_184,BFW,rawWW,cpTP24h,,2022-12-08 09:00:00,2022-12-09 09:00:00.000,9.6,14.7,yes,
BFW_185,BFW,rawWW,cpTP24h,,2022-12-11 09:00:00,2022-12-12 09:00:00.000,9.6,12.7,yes,
OWSD_150,OWSD,rawWW,cpTP24h,,2022-12-11 07:00:00,2022-12-12 07:00:00.000,12.0,12.8,yes,
CBW_174,CBW,rawWW,cpTP24h,,2022-12-08 07:30:00,2022-12-09 07:30:00.000,9.5,,yes,
CBW_175,CBW,rawWW,cpTP24h,,2022-12-11 07:00:00,2022-12-12 07:30:00.000,9.5,4.1,yes,
CWP_167,CWP,rawWW,cpTP24h,,2022-12-08 07:40:00,2022-12-09 08:45:00.000,2.4,9.9,yes,
CWP_168,CWP,rawWW,cpTP24h,,2022-12-11 07:30:00,2022-12-12 07:40:00.000,2.4,8.9,yes,
GWP_183,GWP,rawWW,cpTP24h,,2022-12-08 07:00:00,2022-12-09 07:00:00.000,2.4,,yes,
GWP_184,GWP,rawWW,cpTP24h,,2022-12-11 09:00:00,2022-12-12 09:00:00.000,2.4,,yes,
KLW_183,KLW,rawWW,cpTP24h,,2022-12-08 08:55:00,2022-12-09 08:55:00.000,3.0,14.1,yes,
MSTP_088,MSTP,rawWW,cpTP24h,,2022-12-08 09:00:00,2022-12-09 09:00:00.000,,,yes,
SWP_199,SWP,rawWW,cpTP24h,,2022-12-08 07:00:00,2022-12-09 07:00:00.000,8.0,8.7,yes,
SWP_200,SWP,rawWW,cpTP24h,,2022-12-11 08:00:00,2022-12-12 07:00:00.000,8.0,6.6,yes,
MUC1_153,MUC1,rawWW,grb,2022-12-14 00:00:00,,,,,yes,
MUC3_160,MUC3,rawWW,cpTP24h,,2022-12-13 06:00:00,2022-12-14 06:00:00.000,,,yes,
MUC2_143,MUC2,rawWW,grb,2022-12-14 00:00:00,,,,,yes,
CBW_176,CBW,rawWW,cpTP24h,,2022-12-13 07:30:00,2022-12-14 07:30:00.000,0.5,4.6,yes,
CWP_169,CWP,rawWW,cpTP24h,,2022-12-13 07:30:00,2022-12-14 07:30:00.000,2.4,7.2,yes,
MSTP_089,MSTP,rawWW,cpTP24h,,2022-12-12 09:00:00,2022-12-13 09:00:00.000,,,yes,
MSTP_090,MSTP,rawWW,cpTP24h,,2022-12-13 09:00:00,2022-12-14 09:00:00.000,,,yes,
BFW_186,BFW,rawWW,cpTP24h,,2022-12-13 09:00:00,2022-12-14 09:00:00.000,9.6,10.1,yes,
SWP_201,SWP,rawWW,cpTP24h,,2022-12-13 08:00:00,2022-12-14 08:00:00.000,8.0,8.8,yes,
STW_183,STW,rawWW,cpTP24h,,2022-12-08 08:32:00,2022-12-09 08:32:00.000,16.0,,yes,
STW_184,STW,rawWW,cpTP24h,,2022-12-12 07:30:00,2022-12-13 07:30:00.000,16.0,,yes,
STW_185,STW,rawWW,cpTP24h,,2022-12-13 08:30:00,2022-12-14 08:30:00.000,16.0,,yes,
GWP_185,GWP,rawWW,cpTP24h,,2022-12-13 00:00:00,2022-12-14 00:00:00.000,,,yes,
GSM_002,GSM,rawWW,grb,2022-12-08 10:15:00,,,,,yes,
MUC2_140,MUC2,rawWW,grb,2022-12-07 07:26:00,,,,,yes,
MUC3_157,MUC3,rawWW,grb,2022-12-06 06:00:00,,,,,yes,
MUC1_154,MUC1,rawWW,grb,2022-12-18 07:22:00,,,,,yes,
MUC2_144,MUC2,rawWW,grb,2022-12-19 07:29:00,,,,,yes,
MUC3_161,MUC3,rawWW,grb,2022-12-19 07:40:00,,,,,yes,
KLW_184,KLW,rawWW,cpTP24h,,2022-12-15 10:40:00,2022-12-16 10:40:00.000,3.0,8.2,yes,
GWP_186,GWP,rawWW,cpTP24h,,2022-12-15 07:00:00,2022-12-16 07:00:00.000,2.4,,yes,
GWP_187,GWP,rawWW,cpTP24h,,2022-12-18 09:00:00,2022-12-19 09:00:00.000,2.4,,yes,
CBW_177,CBW,rawWW,cpTP24h,,2022-12-15 07:30:00,2022-12-16 07:30:00.000,9.5,4.3,yes,
CBW_178,CBW,rawWW,grb,2022-12-19 07:46:00,,,,12.7,yes,Sampler failure: resulting in sending grab sample instead of composite
OWSD_151,OWSD,rawWW,cpTP24h,,2022-12-18 07:00:00,2022-12-19 07:00:00.000,12.0,13.7,yes,
MSTP_091,MSTP,rawWW,cpTP24h,,2022-12-15 09:00:00,2022-12-16 09:00:00.000,,,yes,
MUC1_155,MUC1,rawWW,grb,2022-12-21 07:17:00,,,,,yes,
