sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,sentDate,recDate,notes
BMI_1,BMI Combined,rawWW,cpTP24h,2021-01-07 00:00:00,2021-01-06 00:00:00,2021-01-07 00:00:00,0.95,,Yes,,,
BMI_2,BMI Combined,rawWW,grb,2021-01-07 00:00:00,2021-01-06 00:00:00,2021-01-07 00:00:00,0.95,,Yes,,,
BMI_3,BMI Combined,rawWW,grb,2021-01-07 10:00:00,2021-01-06 00:00:00,2021-01-07 00:00:00,0.95,,Yes,,,
BMI_4,BMI Combined,rawWW,grb,2021-01-08 12:30:00,2021-01-08 00:00:00,2021-01-09 00:00:00,0.95,,Yes,,,
BMI_5,BMI Combined,rawWW,cpTP24h,2021-01-09 11:00:00,2021-01-11 00:00:00,2021-01-12 00:00:00,0.95,,Yes,,,
BMI_6,BMI Combined,rawWW,cpTP24h,2021-01-12 11:00:00,2021-01-13 00:00:00,2021-01-14 00:00:00,1.0,,Yes,,,
BMI_7,BMI Combined,rawWW,cpTP24h,2021-01-14 14:30:00,2021-01-15 00:00:00,2021-01-16 00:00:00,0.49,,Yes,,,
BMI_8,BMI Combined,rawWW,cpTP24h,2021-01-16 11:00:00,2021-01-18 00:00:00,2021-01-19 00:00:00,0.9,,Yes,,,
BMI_9,BMI Combined,rawWW,cpTP24h,2021-01-19 10:00:00,2021-01-20 00:00:00,2021-01-21 00:00:00,0.9,,Yes,,,
BMI_10,BMI Combined,rawWW,cpTP24h,2021-01-21 10:15:00,2021-01-22 00:00:00,2021-01-23 00:00:00,1.0,,Yes,,,
BMI_11,BMI Combined,rawWW,cpTP24h,2021-01-23 10:15:00,2021-01-25 00:00:00,2021-01-26 00:00:00,0.5,,Yes,,,
BMI_12,BMI Combined,rawWW,cp,2021-01-26 13:15:00,2021-01-28 00:00:00,2021-01-29 00:00:00,,,Yes,,,
BMI_13,BMI Combined,rawWW,cp,2021-01-29 11:45:00,2021-01-29 00:00:00,2021-01-30 00:00:00,1.0,,Yes,,,
BMI_14,BMI Combined,rawWW,cp,2021-01-30 13:15:00,2021-02-01 00:00:00,2021-02-02 00:00:00,0.4,,Yes,,,
BMI_15,BMI Combined,rawWW,cp,2021-02-02 13:00:00,2021-02-03 00:00:00,2021-02-04 00:00:00,0.4,,Yes,,,
BMI_16,BMI Combined,rawWW,cpgrb,2021-02-04 13:30:00,2021-02-05 00:00:00,2021-02-06 00:00:00,0.97,,Yes,,,
BMI_17,BMI Combined,rawWW,cpTP24h,2021-02-06 13:45:00,2021-02-08 00:00:00,2021-02-09 00:00:00,0.95,,Yes,,,
BMI_18,BMI Combined,rawWW,cpTP24h,2021-02-09 10:15:00,2021-02-10 00:00:00,2021-02-11 00:00:00,1.1,,Yes,,,
BMI_19,BMI Combined,rawWW,cp,2021-02-11 13:15:00,2021-02-12 00:00:00,2021-02-13 00:00:00,0.48,,Yes,,,
BMI_20,BMI Combined,rawWW,cp,2021-02-13 11:30:00,2021-02-15 00:00:00,2021-02-16 00:00:00,0.35,,Yes,,,
BMI_21,BMI Combined,rawWW,grb,2021-02-16 11:30:00,2021-02-17 00:00:00,2021-02-18 00:00:00,0.96,,Yes,,,
BMI_22,BMI Combined,rawWW,cpTP24h,2021-02-18 12:00:00,2021-02-20 00:00:00,2021-02-21 00:00:00,0.45,,Yes,,,
BMI_23,BMI Combined,rawWW,cp,2021-02-21 09:45:00,2021-02-22 00:00:00,2021-02-23 00:00:00,1.0,,Yes,,,
BMI_24,BMI Combined,rawWW,cp,2021-02-23 11:00:00,2021-02-24 00:00:00,2021-02-25 00:00:00,1.0,,Yes,,,
BMI_25,BMI Combined,rawWW,cp,2021-02-25 09:30:00,2021-02-25 00:00:00,2021-02-26 00:00:00,0.42,,Yes,,,
BMI_26,BMI Combined,rawWW,grb,2021-02-27 14:00:00,2021-02-26 00:00:00,2021-02-27 00:00:00,1.0,,Yes,,,
