sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes
CB221202,CB,rawWW,cpTP24h,,2022-12-01 00:00:00,2022-12-02 00:00:00,1,,Yes,
CB221203,CB,rawWW,cpTP24h,,2022-12-02 00:00:00,2022-12-03 00:00:00,1,,Yes,
CB221204,CB,rawWW,cpTP24h,,2022-12-03 00:00:00,2022-12-04 00:00:00,1,,Yes,
CB221205,CB,rawWW,cpTP24h,,2022-12-04 00:00:00,2022-12-05 00:00:00,1,,Yes,
KS221205,KS,rawWW,cpTP24h,,2022-12-04 00:00:00,2022-12-05 00:00:00,1,,Yes,
CW221205,CW,rawWW,cpTP24h,,2022-12-04 00:00:00,2022-12-05 00:00:00,1,,Yes,
WB221203,WB,rawWW,cpTP24h,,2022-12-02 00:00:00,2022-12-03 00:00:00,1,,Yes,
WB221205,WB,rawWW,cpTP24h,,2022-12-04 00:00:00,2022-12-05 00:00:00,1,,Yes,
LT221205,LT,rawWW,cpTP24h,,2022-12-04 00:00:00,2022-12-05 00:00:00,1,,Yes,
LT221206,LT,rawWW,cpTP24h,,2022-12-05 00:00:00,2022-12-06 00:00:00,1,,Yes,
HB221206,HB,rawWW,cpTP24h,,2022-12-05 00:00:00,2022-12-06 00:00:00,1,,Yes,
HB221206,HB,rawWW,cpTP24h,,2022-12-05 00:00:00,2022-12-06 00:00:00,1,,Yes,
CW221206,CW,rawWW,cpTP24h,,2022-12-05 00:00:00,2022-12-06 00:00:00,1,,Yes,
MB221206,MB,rawWW,cpTP24h,,2022-12-05 00:00:00,2022-12-06 00:00:00,1,,Yes,
RV221209,RV,rawWW,cpTP24h,,2022-12-08 00:00:00,2022-12-09 00:00:00,1,,Yes,
RV221210,RV,rawWW,cpTP24h,,2022-12-09 00:00:00,2022-12-10 00:00:00,1,,Yes,
RV221211,RV,rawWW,cpTP24h,,2022-12-10 00:00:00,2022-12-11 00:00:00,1,,Yes,
RV221212,RV,rawWW,cpTP24h,,2022-12-11 00:00:00,2022-12-12 00:00:00,1,,Yes,
CB221209,CB,rawWW,cpTP24h,,2022-12-08 00:00:00,2022-12-09 00:00:00,1,,Yes,
CB221210,CB,rawWW,cpTP24h,,2022-12-09 00:00:00,2022-12-10 00:00:00,1,,Yes,
