sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes,sampleDate
fac1a_2021Sep16_c24,fac1a,rawWW,cpTP24h,,2021-09-15 08:35:00,2021-09-16 07:35:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-16
fac1a_2021Sep23_c24,fac1a,rawWW,cpTP24h,,2021-09-22 08:45:00,2021-09-23 07:45:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-23
fac1a_2021Sep28_c24,fac1a,rawWW,cpTP24h,,2021-09-27 08:35:00,2021-09-28 07:35:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-28
fac1b_2021Jun08_c23,fac1b,rawWW,cpTP24h,,2021-06-07 09:30:00,2021-06-08 08:45:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-06-08
fac1b_2021Jun10_c24,fac1b,rawWW,cpTP24h,,2021-06-09 09:00:00,2021-06-10 08:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-06-10
fac1b_2021Jun15_b2,fac1b,rawWW,cpgrb,,2021-06-14 09:30:00,2021-06-15 08:30:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-06-15
fac1b_2021Jun17_b2,fac1b,rawWW,cpgrb,,2021-06-16 09:00:00,2021-06-17 08:50:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-06-17
fac1b_2021Jun22_c24,fac1b,rawWW,cpTP24h,,2021-06-21 09:30:00,2021-06-22 08:30:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-06-22
fac1b_2021Jun24_c24,fac1b,rawWW,cpTP24h,,2021-06-23 09:00:00,2021-06-24 08:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-06-24
fac1b_2021Jun29_c24,fac1b,rawWW,cpTP24h,,2021-06-28 09:30:00,2021-06-29 08:30:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-06-29
fac1b_2021Jun30_c24,fac1b,rawWW,cpTP24h,,2021-06-29 08:55:00,2021-06-30 07:55:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-06-30
fac1b_2021Jul06_c24,fac1b,rawWW,cpTP24h,,2021-07-05 09:30:00,2021-07-06 08:30:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-06
fac1b_2021Jul08_c24,fac1b,rawWW,cpTP24h,,2021-07-07 09:00:00,2021-07-08 08:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-08
fac1b_2021Jul13_c24,fac1b,rawWW,cpTP24h,,2021-07-12 09:30:00,2021-07-13 08:30:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-13
fac1b_2021Jul15_c24,fac1b,rawWW,cpTP24h,,2021-07-14 09:00:00,2021-07-15 08:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-15
fac1b_2021Jul20_c24,fac1b,rawWW,cpTP24h,,2021-07-19 09:00:00,2021-07-20 08:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-20
fac1b_2021Jul22_c24,fac1b,rawWW,cpTP24h,,2021-07-21 09:00:00,2021-07-22 08:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-22
fac1b_2021Jul29_c24,fac1b,rawWW,cpTP24h,,2021-07-28 09:00:00,2021-07-29 08:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-29
fac1b_2021Aug04_c24,fac1b,rawWW,cpTP24h,,2021-08-03 08:40:00,2021-08-04 07:40:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-04
fac1b_2021Aug05_c24,fac1b,rawWW,cpTP24h,,2021-08-04 09:00:00,2021-08-05 08:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-05
fac1b_2021Aug12_c24,fac1b,rawWW,cpTP24h,,2021-08-11 09:00:00,2021-08-12 08:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-12
fac1b_2021Aug17_c23,fac1b,rawWW,cpTP24h,,2021-08-16 10:50:00,2021-08-17 09:50:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-17
fac1b_2021Aug19_c23,fac1b,rawWW,cpTP24h,,2021-08-18 11:00:00,2021-08-19 10:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-19
fac1b_2021Aug24_c24,fac1b,rawWW,cpTP24h,,2021-08-23 09:00:00,2021-08-24 08:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-24
fac1b_2021Aug26_c24,fac1b,rawWW,cpTP24h,,2021-08-25 09:00:00,2021-08-26 08:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-26
fac1b_2021Aug31_c24,fac1b,rawWW,cpTP24h,,2021-08-30 09:00:00,2021-08-31 08:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-31
fac1b_2021Sep02_g,fac1b,rawWW,grb,2021-09-02 08:40:00,,,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-02
fac1b_2021Sep08_c24,fac1b,rawWW,cpTP24h,,2021-09-07 08:20:00,2021-09-08 07:20:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-08
fac1b_2021Sep09_c24,fac1b,rawWW,cpTP24h,,2021-09-08 08:35:00,2021-09-09 07:35:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-09
fac1b_2021Sep16_c24,fac1b,rawWW,cpTP24h,,2021-09-15 09:00:00,2021-09-16 08:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-16
fac1b_2021Sep21_c24,fac1b,rawWW,cpTP24h,,2021-09-20 09:00:00,2021-09-21 08:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-21
fac1b_2021Sep23_c24,fac1b,rawWW,cpTP24h,,2021-09-22 09:00:00,2021-09-23 08:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-23
fac1b_2021Sep28_c24,fac1b,rawWW,cpTP24h,,2021-09-27 09:00:00,2021-09-28 08:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-28
fac2_2021May04_c9,fac2,rawWW,cpTP24h,,2021-05-03 09:15:00,2021-05-04 08:15:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-05-04
fac2_2021May06_c9,fac2,rawWW,cpTP24h,,2021-05-05 09:25:00,2021-05-06 08:25:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-05-06
fac2_2021May11_c5,fac2,rawWW,cpTP24h,,2021-05-10 09:30:00,2021-05-11 08:30:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-05-11
fac2_2021May13_c5,fac2,rawWW,cpTP24h,,2021-05-12 09:20:00,2021-05-13 08:20:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-05-13
fac2_2021May18_c7,fac2,rawWW,cpTP24h,,2021-05-17 09:05:00,2021-05-18 08:05:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-05-18
