sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,sentDate,recDate,notes
TPKAP210831_2,TPKAP,rawWW,cpTP24h,,2021-08-30 08:00:00,2021-08-31 08:00:00,0.5,,Yes,,,
TPKAP210907_1,TPKAP,rawWW,cpTP24h,,2021-09-06 08:00:00,2021-09-07 08:00:00,0.5,,Yes,,,
TPKAP210907_2,TPKAP,rawWW,cpTP24h,,2021-09-06 08:00:00,2021-09-07 08:00:00,0.5,,Yes,,,
TPKAP210914_1,TPKAP,rawWW,cpTP24h,,2021-09-13 08:00:00,2021-09-14 08:00:00,0.5,,Yes,,,
TKAP210921_1,TPKAP,rawWW,cpTP24h,,2021-09-20 08:00:00,2021-09-21 08:00:00,0.5,,Yes,,,
TPKAP210928_1,TPKAP,rawWW,cpTP24h,,2021-09-27 08:00:00,2021-09-28 08:00:00,0.5,,Yes,,,
TPKAP210928_2,TPKAP,rawWW,cpTP24h,,2021-09-27 08:00:00,2021-09-28 08:00:00,0.5,,Yes,,,
TPKAP211005_1,TPKAP,rawWW,cpTP24h,,2021-10-04 08:00:00,2021-10-05 08:00:00,0.5,,Yes,,,
TPKAP211012_1,TPKAP,rawWW,cpTP24h,,2021-10-11 08:00:00,2021-10-12 08:00:00,0.5,,Yes,,,
TPKAP211019_1,TPKAP,rawWW,cpTP24h,,2021-10-18 08:00:00,2021-10-19 08:00:00,0.5,,Yes,,,
TPKAP211019_2,TPKAP,rawWW,cpTP24h,,2021-10-18 08:00:00,2021-10-19 08:00:00,0.5,,Yes,,,
TPKAP211026_1,TPKAP,rawWW,cpTP24h,,2021-10-25 08:00:00,2021-10-26 08:00:00,0.5,,Yes,,,
TPKAP211102_1,TPKAP,rawWW,cpTP24h,,2021-11-01 08:00:00,2021-11-02 08:00:00,0.5,,Yes,,,
TPKAP211109_1,TPKAP,rawWW,cpTP24h,,2021-11-08 08:00:00,2021-11-09 08:00:00,0.5,,Yes,,,
TPKAP211109_2,TPKAP,rawWW,cpTP24h,,2021-11-08 08:00:00,2021-11-09 08:00:00,0.5,,Yes,,,
TPKAP211116_1,TPKAP,rawWW,cpTP24h,,2021-11-15 08:00:00,2021-11-16 08:00:00,0.5,,Yes,,,
TPKAP211123_1,TPKAP,rawWW,cpTP24h,,2021-11-22 08:00:00,2021-11-23 08:00:00,0.5,,Yes,,,
TPKAP211123_2,TPKAP,rawWW,cpTP24h,,2021-11-22 08:00:00,2021-11-23 08:00:00,0.5,,Yes,,,
TPKAP211130_1,TPKAP,rawWW,cpTP24h,,2021-11-29 08:00:00,2021-11-30 08:00:00,0.5,,Yes,,,
TPKAP211207_1,TPKAP,rawWW,cpTP24h,,2021-12-06 08:00:00,2021-12-07 08:00:00,0.5,,Yes,,,
TPKAP211214_1,TPKAP,rawWW,cpTP24h,,2021-12-13 08:00:00,2021-12-14 08:00:00,0.5,,Yes,,,
TPKAP211221_1,TPKAP,rawWW,cpTP24h,,2021-12-20 08:00:00,2021-12-21 08:00:00,0.5,,Yes,,,
TPKAP211228_1,TPKAP,rawWW,cpTP24h,,2021-12-27 08:00:00,2021-12-28 08:00:00,0.5,,Yes,,,
TPKAP220104_1,TPKAP,rawWW,cpTP24h,,2022-01-03 08:00:00,2022-01-04 08:00:00,0.5,,Yes,,,
TPKAP220111_1,TPKAP,rawWW,cpTP24h,,2022-01-10 08:00:00,2022-01-11 08:00:00,0.5,,Yes,,,
TPKAP220118_1,TPKAP,rawWW,cpTP24h,,2022-01-17 08:00:00,2022-01-18 08:00:00,0.5,,Yes,,,
TPKAP220118_2,TPKAP,rawWW,cpTP24h,,2022-01-17 08:00:00,2022-01-18 08:00:00,0.5,,Yes,,,
TPKAP220125_1,TPKAP,rawWW,cpTP24h,,2022-01-24 08:00:00,2022-01-25 08:00:00,0.5,,Yes,,,
TPKAP220201_1,TPKAP,rawWW,cpTP24h,,2022-01-31 08:00:00,2022-02-01 08:00:00,0.5,,Yes,,,
TPKAP220201_2,TPKAP,rawWW,cpTP24h,,2022-01-31 08:00:00,2022-02-01 08:00:00,0.5,,Yes,,,
TPKAP220208_2,TPKAP,rawWW,cpTP24h,,2022-02-07 08:00:00,2022-02-08 08:00:00,0.5,,Yes,,,
TPKAP220208_1,TPKAP,rawWW,cpTP24h,,2022-02-07 08:00:00,2022-02-08 08:00:00,0.5,,Yes,,,
TPKAP220215_1,TPKAP,rawWW,cpTP24h,,2022-02-14 08:00:00,2022-02-15 08:00:00,0.5,,Yes,,,
TPKAP220221_1,TPKAP,rawWW,cpTP24h,,2022-02-20 08:00:00,2022-02-21 08:00:00,0.5,,Yes,,,
TPKAP220221_2,TPKAP,rawWW,cpTP24h,,2022-02-20 08:00:00,2022-02-21 08:00:00,0.5,,Yes,,,
TPKAP220301_1,TPKAP,rawWW,cpTP24h,,2022-02-28 08:00:00,2022-03-01 08:00:00,0.5,,Yes,,,
TPKAP220308_1,TPKAP,rawWW,cpTP24h,,2022-03-07 08:00:00,2022-03-08 08:00:00,0.5,,Yes,,,
TPKAP220308_2,TPKAP,rawWW,cpTP24h,,2022-03-07 08:00:00,2022-03-08 08:00:00,0.5,,Yes,,,
TPKAP220315_1,TPKAP,rawWW,cpTP24h,,2022-03-14 08:00:00,2022-03-15 08:00:00,0.5,,Yes,,,
TPKAP220315_2,TPKAP,rawWW,cpTP24h,,2022-03-14 08:00:00,2022-03-15 08:00:00,0.5,,Yes,,,
TPKAP220322_1,TPKAP,rawWW,cpTP24h,,2022-03-21 08:00:00,2022-03-22 08:00:00,0.5,,Yes,,,
TPKAP220322_2,TPKAP,rawWW,cpTP24h,,2022-03-21 08:00:00,2022-03-22 08:00:00,0.5,,Yes,,,
TPKAP220405_1,TPKAP,rawWW,cpTP24h,,2022-04-04 08:00:00,2022-04-05 08:00:00,0.5,,Yes,,,
TPKAP220412_1,TPKAP,rawWW,cpTP24h,,2022-04-11 08:00:00,2022-04-12 08:00:00,0.5,,Yes,,,
TPKAP220412_2,TPKAP,rawWW,cpTP24h,,2022-04-11 08:00:00,2022-04-12 08:00:00,0.5,,Yes,,,
TPKAP220419_1,TPKAP,rawWW,cpTP24h,,2022-04-18 08:00:00,2022-04-19 08:00:00,0.5,,Yes,,,
TPKAP220419_2,TPKAP,rawWW,cpTP24h,,2022-04-18 08:00:00,2022-04-19 08:00:00,0.5,,Yes,,,
TPKAP220426_3,TPKAP,rawWW,cpTP24h,,2022-04-25 08:00:00,2022-04-26 08:00:00,0.5,,Yes,,,
TPKAP220503_1,TPKAP,rawWW,cpTP24h,,2022-05-02 08:00:00,2022-05-03 08:00:00,0.5,,Yes,,,
TPKAP220510_1,TPKAP,rawWW,cpTP24h,,2022-05-09 08:00:00,2022-05-10 08:00:00,0.5,,Yes,,,
TPKAP220510_2,TPKAP,rawWW,cpTP24h,,2022-05-09 08:00:00,2022-05-10 08:00:00,0.5,,Yes,,,
TPKAP220517_1,TPKAP,rawWW,cpTP24h,,2022-05-16 08:00:00,2022-05-17 08:00:00,0.5,,Yes,,,
TPKAP220517_2,TPKAP,rawWW,cpTP24h,,2022-05-16 08:00:00,2022-05-17 08:00:00,0.5,,Yes,,,
TPKAP220525_1,TPKAP,rawWW,cpTP24h,,2022-05-24 08:00:00,2022-05-25 08:00:00,0.5,,Yes,,,
TPKAP220525_2,TPKAP,rawWW,cpTP24h,,2022-05-24 08:00:00,2022-05-25 08:00:00,0.5,,Yes,,,
TPKAP220531_1,TPKAP,rawWW,cpTP24h,,2022-05-30 08:00:00,2022-05-31 08:00:00,0.5,,Yes,,,
TPKAP220531_2,TPKAP,rawWW,cpTP24h,,2022-05-30 08:00:00,2022-05-31 08:00:00,0.5,,Yes,,,
TPKAP220607_1,TPKAP,rawWW,cpTP24h,,2022-06-06 08:00:00,2022-06-07 08:00:00,0.5,,Yes,,,
TPKAP220607_2,TPKAP,rawWW,cpTP24h,,2022-06-06 08:00:00,2022-06-07 08:00:00,0.5,,Yes,,,
TPKAP220614_1,TPKAP,rawWW,cpTP24h,,2022-06-13 08:00:00,2022-06-14 08:00:00,0.5,,Yes,,,
TPKAP220621_1,TPKAP,rawWW,cpTP24h,,2022-06-20 08:00:00,2022-06-21 08:00:00,0.5,,Yes,,,
TPKAP220628_1,TPKAP,rawWW,cpTP24h,,2022-06-27 08:00:00,2022-06-28 08:00:00,0.5,,Yes,,,
TPKAP220628_2,TPKAP,rawWW,cpTP24h,,2022-06-27 08:00:00,2022-06-28 08:00:00,0.5,,Yes,,,
TPKAP220705_2,TPKAP,rawWW,cpTP24h,,2022-07-04 08:00:00,2022-07-05 08:00:00,0.5,,Yes,,,
TPKAP220712_1,TPKAP,rawWW,cpTP24h,,2022-07-11 08:00:00,2022-07-12 08:00:00,0.5,,Yes,,,
TPKAP220712_2,TPKAP,rawWW,cpTP24h,,2022-07-11 08:00:00,2022-07-12 08:00:00,0.5,,Yes,,,
TPKAP220705_1,TPKAP,rawWW,cpTP24h,,2022-07-04 08:00:00,2022-07-05 08:00:00,0.5,,Yes,,,
TPKAP220719_1,TPKAP,rawWW,cpTP24h,,2022-07-18 08:00:00,2022-07-19 08:00:00,0.5,,Yes,,,
TPKAP220726_1,TPKAP,rawWW,cpTP24h,,2022-07-25 08:00:00,2022-07-26 08:00:00,0.5,,No,,,arrived at room temp due to shipping issue
TPKAP220802_1,TPKAP,rawWW,cpTP24h,,2022-08-01 08:00:00,2022-08-02 08:00:00,0.5,,Yes,,,
TPKAP220809_1,TPKAP,rawWW,cpTP24h,,2022-08-08 08:00:00,2022-08-09 08:00:00,0.5,,Yes,,,
TPKAP220816_1,TPKAP,rawWW,cpTP24h,,2022-08-15 08:00:00,2022-08-16 08:00:00,0.5,,Yes,,,
TPKAP220823_1,TPKAP,rawWW,cpTP24h,,2022-08-22 08:00:00,2022-08-23 08:00:00,0.5,,Yes,,,
